ALL	1229245740
the	91064206
of	43635915
and	37278223
in	36286663
a	27079934
to	26103694
was	15270228
is	13828202
for	10720646
as	10299490
on	10001129
with	8978307
by	8974237
he	8106367
s	7444324
that	7267302
at	6741554
from	6662015
his	6431381
it	6239265
an	5001766
were	4170272
are	4168848
which	3944259
this	3593837
be	3384918
also	3330498
or	3329123
has	3265984
had	2973615
first	2904177
one	2771148
their	2632610
but	2479261
its	2469672
new	2467684
not	2437348
after	2434515
who	2403752
they	2333538
have	2249453
two	2152299
her	2139302
she	2046109
been	1990674
other	1906853
all	1874498
when	1819909
there	1705123
time	1687771
during	1624575
into	1573536
more	1475829
school	1462950
years	1416870
only	1388469
most	1379572
over	1373348
up	1363968
some	1282137
year	1261642
city	1260277
would	1252597
world	1228273
may	1208339
where	1202719
out	1201578
many	1197873
such	1196291
later	1189095
can	1187723
between	1184664
used	1180872
him	1164939
then	1155732
state	1143007
three	1137425
known	1135823
about	1128989
made	1111081
under	1106841
united	1073553
national	1059997
university	1048295
while	1047825
these	1046986
part	1040111
than	1030752
no	1003070
well	997494
became	996472
american	986378
south	976224
born	974222
being	970119
states	969370
however	961070
war	958314
second	956315
through	950728
both	937565
team	930437
north	920423
including	915565
before	915079
high	907887
area	896869
people	892320
season	885595
them	876250
film	863353
early	861286
i	860753
family	859881
name	839066
will	837419
until	836681
since	836090
history	811374
against	806552
album	806022
series	800973
work	787126
called	784580
county	781893
music	771906
group	771067
several	770529
number	770484
life	765688
company	745138
de	739262
played	733251
four	720657
so	716522
west	714751
released	709947
district	704553
now	699694
game	697440
government	689454
town	682841
each	682533
day	674608
use	672811
same	669018
located	668910
based	665783
population	664680
age	656594
house	655937
league	654609
john	639782
east	634212
general	632255
won	629227
if	627639
career	626606
station	621563
like	617545
end	616974
college	611304
following	607787
because	607655
international	604878
river	604579
band	604234
line	601284
any	600624
home	600474
system	599997
began	595977
club	592937
found	590394
century	589903
long	588419
york	584557
back	582999
public	581416
member	578362
place	572677
around	568900
british	566931
church	561207
named	558428
party	558225
best	557507
march	554530
september	550183
show	550155
former	550012
although	546658
local	545412
another	543999
january	540669
major	539842
village	536193
june	535687
song	534893
within	533462
small	532979
october	532576
service	532168
built	530406
could	529053
did	526598
along	525584
very	524067
took	523185
july	522243
large	519857
held	518394
old	518038
august	513038
football	511763
single	507017
april	506451
due	505619
left	503928
members	502068
november	500826
december	497213
those	495417
still	495276
own	490827
off	489281
main	488775
often	488354
five	482978
president	482059
death	482056
last	480574
set	474426
served	471573
air	467685
building	464379
order	463718
great	459199
law	455944
park	454641
third	454360
games	452866
much	451839
final	451722
book	447234
what	446759
children	446518
received	446469
army	444847
even	444021
road	443440
english	441993
country	440977
died	440087
include	436964
u.s.	434746
february	433968
published	433531
water	428692
king	427005
down	424938
just	424226
near	423621
form	423377
top	422347
late	421829
central	420254
power	420215
community	418783
original	418588
son	418011
among	416622
development	416443
according	415943
said	414745
french	414699
times	413834
way	413434
side	412648
students	411285
play	411021
again	410508
different	409250
species	406564
education	405391
included	400147
white	397790
land	397286
division	397052
t	396317
led	396172
men	395069
man	394955
center	392840
island	391816
german	388869
father	388282
ii	385795
london	384676
moved	384671
you	383405
do	382745
make	378858
court	374720
player	374091
came	372411
point	372105
region	370458
become	369951
western	369923
england	368702
non	367207
military	367045
us	366177
television	365983
street	365888
given	363975
record	363614
political	363550
six	362765
having	362520
council	362329
support	361661
established	361234
went	361047
next	359987
various	359573
currently	359181
period	358900
research	356210
every	355560
using	355507
art	355244
black	354925
radio	354341
though	354313
title	353993
program	351459
women	350639
few	349796
business	349745
per	345671
started	344573
produced	344069
production	343259
role	341828
see	341496
class	341401
award	340200
field	340074
take	339497
head	339262
force	338922
created	336304
written	335667
young	332021
total	331541
level	329703
without	329216
office	329056
founded	327357
works	327341
union	327237
live	324387
popular	324129
version	323130
we	322881
together	321542
run	320811
election	320802
short	319974
department	319350
list	319174
northern	318952
site	317884
million	316583
association	315699
california	314037
services	313778
director	313052
full	312036
married	312017
france	311656
cup	310676
once	310150
right	309372
st.	307504
battle	306412
returned	306060
control	305710
living	304275
present	302802
story	301066
days	300993
royal	300511
open	299880
southern	299856
common	299823
language	299514
considered	299249
important	298704
society	297356
act	296902
san	296327
william	295759
average	295551
rock	294881
modern	294623
lost	294500
free	294456
further	294308
continued	294116
design	293978
worked	292849
term	291574
joined	291493
position	290860
championship	290841
america	290122
red	289776
european	289041
half	289025
current	288865
social	287996
professional	287821
appeared	287439
canada	287394
others	287393
playing	287277
australia	286784
similar	286470
india	285862
project	285757
himself	285610
never	285511
example	285275
making	281742
special	281720
formed	281502
board	281423
originally	281010
george	280628
areas	280193
records	279693
route	279597
james	278330
video	277938
little	277928
elected	275162
post	274433
recorded	273009
working	272225
information	271945
summer	271451
forces	271018
case	270689
re	270202
developed	270168
good	269904
upon	269438
hall	269401
lake	268659
schools	268094
eastern	268069
railway	267417
opened	267048
usually	266476
available	264750
round	263877
addition	263756
throughout	263097
wrote	262778
germany	262584
result	262043
la	260087
wife	259870
release	259851
today	259494
eventually	258491
human	257870
body	257151
style	255750
songs	255546
co	253750
character	253318
how	252559
science	250948
training	249939
sea	249591
does	249410
construction	249348
largest	248977
should	247726
less	247433
love	246797
minister	246497
police	246307
light	245990
race	245777
events	244422
seen	243659
taken	242845
track	242456
away	242448
range	242277
lead	241554
go	241306
centre	241017
d	240612
europe	239891
chief	239326
event	238371
must	238326
thus	238067
mother	237747
match	237212
david	236189
win	235996
seven	235681
network	235407
tv	235403
across	235295
census	235181
fire	234986
despite	234731
uk	233856
night	233637
features	233252
sold	232190
health	232137
brother	231648
japanese	230785
get	229934
process	229914
designed	229711
province	229564
australian	229417
space	229380
announced	228675
return	228510
teams	228394
appointed	227564
middle	227208
help	227187
tour	226685
points	226072
performance	225649
players	225621
soon	224215
low	223912
capital	223378
aircraft	223341
museum	223318
private	222931
japan	222798
news	222390
followed	221952
described	221825
official	221466
groups	220843
star	220819
either	220489
washington	220032
signed	219463
size	219097
canadian	218787
episode	218767
indian	218752
performed	218713
months	218659
close	218432
media	218356
featured	218143
income	217511
committee	216773
leading	216699
includes	216041
daughter	215673
m	215379
festival	215261
approximately	214953
able	214903
robert	214567
arts	214347
green	213716
instead	213590
magazine	213419
independent	212981
kingdom	212975
debut	212852
almost	212821
stage	212501
civil	212386
type	212079
books	211743
systems	211024
paul	210921
china	210865
model	210466
charles	210439
remained	210380
study	210378
my	210299
front	210250
car	209965
b	209819
federal	209749
organization	208836
sometimes	208737
rather	208580
action	208252
institute	208116
market	207658
gave	207556
municipality	206815
famous	206472
above	206301
thomas	206186
countries	206183
rights	205195
involved	204984
personal	204111
awards	203961
completed	203917
industry	203302
success	202280
big	202259
real	202198
movement	201452
base	201206
sent	200780
coast	200419
technology	200355
lower	200260
change	199824
ten	199592
al	199442
successful	199192
eight	198900
management	198422
killed	197718
section	197417
gold	197387
shows	197376
studies	197272
coach	197119
mid	196923
attack	196681
valley	196609
ground	196142
far	195731
o	195018
added	194669
sports	194621
square	194540
native	194370
academy	194258
provided	193865
ship	193409
hill	192937
bay	192248
bank	192197
beginning	192186
week	191950
campaign	191926
provide	191794
natural	191602
itself	191585
bridge	191299
chinese	191288
cross	190894
saw	190742
roman	190740
michael	190737
degree	190431
student	190365
operations	190226
replaced	189957
parts	189832
outside	189753
winning	189692
ever	189157
come	189037
hit	188933
owned	188838
possible	188795
competition	188692
primary	188584
generally	188041
grand	188033
least	187438
fourth	187222
brought	187177
whose	187105
future	186534
especially	186312
standard	186148
spanish	185993
russian	185717
put	185638
data	185452
christian	185105
introduced	184986
decided	184313
directed	184308
republic	184288
hand	184000
medical	183970
too	183788
previous	183466
texas	183436
ireland	183326
finished	183000
runs	182854
african	182822
regional	182136
higher	181784
henry	181484
units	181351
families	181303
related	181276
traditional	181120
reported	181092
theatre	180819
blue	180349
films	180324
governor	179355
leader	179298
below	178918
reached	178682
navy	178594
means	178435
italian	178302
awarded	178239
changed	178108
strong	177600
female	177574
trade	177569
person	177360
active	177157
culture	177124
interest	176971
saint	176895
behind	176807
energy	176078
studio	176051
older	175967
los	175845
economic	175814
novel	175053
x	174823
placed	174480
money	174227
limited	174017
professor	173972
writing	173462
operation	173405
channel	173224
fact	173171
historic	172895
catholic	172875
finally	171692
hospital	171551
conference	171389
command	171200
lived	171196
peter	170979
unit	170818
foreign	170794
food	170100
start	170060
senior	170048
parliament	169878
taking	169818
course	169408
prior	169225
staff	168946
previously	168860
me	168656
africa	168064
buildings	168060
wide	167710
plays	167337
location	167305
regular	167238
running	166852
numerous	166807
commercial	166758
find	166659
via	166517
airport	166380
sound	166054
past	165616
significant	165269
self	165134
child	164854
here	164409
mountain	164158
recent	163951
officer	163823
highway	163817
structure	163340
brown	162862
allowed	162848
soviet	162633
collection	162586
seat	162557
musical	162345
programs	161757
companies	161449
whom	161251
word	161068
practice	160947
richard	160551
chicago	160075
mark	159866
activities	159798
our	159777
attended	159671
commission	159529
median	159169
towards	159091
lord	158992
earlier	158601
artist	158404
date	157276
captain	156826
bill	156558
goal	156508
plant	156275
movie	156128
spent	155934
press	155930
males	155912
plan	155834
township	155692
required	155644
dr.	155483
test	155436
highest	155356
room	155353
religious	155252
engine	155093
author	154807
paris	154568
move	154425
library	154354
females	154073
complete	154066
foundation	153898
god	153849
better	153724
met	153690
already	153627
security	153543
contains	153141
empire	152907
st	152844
annual	152634
stated	152592
earth	152575
virginia	152546
individual	152511
defeated	152493
mission	152356
smith	152114
ended	151855
theory	151824
issues	151748
tournament	151648
initially	151515
woman	151142
access	151112
associated	151044
miles	151026
characters	150986
always	150833
rest	150697
manager	150625
property	150209
entire	149884
recently	149362
greek	149017
length	148763
artists	148718
give	148487
mary	148474
going	148136
particularly	148028
policy	148011
singer	148009
c	147403
prince	147335
lines	147314
medal	147282
places	147026
poland	146845
issue	146822
appearance	146793
certain	146508
secretary	146411
mostly	146378
writer	146239
feature	146228
historical	146069
uses	145969
sir	145895
financial	145864
additional	145737
majority	145419
terms	145239
anti	144991
zealand	144932
thought	144805
computer	144673
assembly	144669
households	144667
got	144208
remains	144135
names	144086
themselves	144076
contract	144067
islands	144065
irish	143953
cover	143869
closed	143859
referred	143804
pacific	143643
queen	143491
legal	143393
angeles	143150
ran	143014
nine	142918
administration	142760
fall	142647
source	142545
notable	142482
scored	142378
variety	142360
florida	142357
changes	142254
particular	142162
port	142146
opening	142036
lies	141929
fort	141876
italy	141835
entered	141822
forced	141748
represented	141648
turn	141648
takes	141054
operated	140965
results	140644
caused	139967
executive	139822
recording	139702
need	139428
castle	139416
complex	139280
upper	139207
material	139084
becoming	139041
hours	139009
noted	138830
friends	138671
pennsylvania	138616
master	138520
nature	138459
youth	138384
key	138321
launched	138137
stone	137943
edition	137942
larger	137913
victory	137843
stadium	137496
husband	137249
mexico	137069
report	136901
era	136753
status	136724
view	136651
congress	136619
listed	136486
provides	136442
cultural	136218
speed	136088
rate	136056
ancient	135844
championships	135822
appears	135815
increased	135769
shown	135572
products	135322
problems	135237
forms	134971
administrative	134939
create	134874
month	134709
subsequently	134440
studied	134258
sister	134054
longer	133834
louis	133764
relationship	133706
retired	133667
nearly	133203
therefore	133174
cities	133168
goals	133125
loss	133092
individuals	133083
mainly	133025
forest	133017
dance	132854
1980s	132579
discovered	132252
turned	132221
democratic	132141
effect	131897
starting	131885
passed	131810
friend	131756
wales	131664
evidence	131604
heavy	131388
temple	131271
don	131211
tracks	131201
yet	131132
joseph	130914
cases	130790
decision	130655
serving	130577
leaving	130305
heart	130024
cost	129897
train	129870
campus	129859
believed	129833
troops	129775
greater	129717
wing	129650
call	129205
care	129020
prime	128650
jewish	128538
separate	128463
meeting	128320
offered	128313
shot	128288
ice	127989
baseball	127953
actor	127908
oil	127784
camp	127654
19th	127575
minor	127342
subject	127235
surface	127126
attempt	126890
